"cavejohnson.cave_laugh04"	"เคฟ จอห์นสัน: [หัวเราะ]"
"cavejohnson.misc_tests24"	"ขึ้น: เราจะเปิดระบบตัวนำยิ่งยวดและระเบิดไปที่นายในช่วงการทดสอบถัดไป ชั้นพูดจริงๆนะ เราโยนการศึกษาไปที่กำแพงตรงนั้นและดูว่าอะไรที่ติด คิดไม่ออกว่าชั้นจะทำอะไร บางทีอาจไม่มี ทางที่ดีที่สุดแผนการ นายอาจได้พลังมา กรณีที่แย่ก็คือ มีเนื้องอก ที่เราจะตัดมันออก"
"[english]cavejohnson.misc_tests24"	"<clr:205,149,117>Cave Johnson: Just a heads up: We're gonna have a superconductor turned up full blast and pointed at you for the duration of this next test. I'll be honest, we're throwing science at the wall here to see what sticks. No idea what it'll do. Probably nothing. Best-case scenario, you might get some superpowers. Worst case, some tumors, which we'll cut out."
"cavejohnson.misc_tests25"	"ถ้านายเป็นโรคแพ้ถั่ว นายอาจอยากบอกใครบางคน เพราะการทดสอบต่อไปนายจะต้องเจอกับถั่ว ถ้าเราทำให้มันเกิดขึ้นได้ เขาจะประดิษฐ์รางวัลโนเบลประเภทใหม่เพื่อที่จะให้เรา ดังนั้นทนไว้"
"[english]cavejohnson.misc_tests25"	"<clr:205,149,117>Cave Johnson: If you're allergic to peanuts, you might want to tell somebody now, because this next test may turn your blood into peanut water for a few minutes. On the bright side, if we can make this happen, they're gonna have to invent a new type of Nobel Prize to give us, so hang in there."
"cavejohnson.misc_tests26"	"Cave Johnson: ตอนนี้ถ้าคุณอยู่ในกลุ่มควบคุม Kepler-7 เราได้ฝังไมโครชิปขนาดเท่าโปสการ์ดลงในกระดูกของคุณ คาดว่าพวกคุณคงลืมไปแล้วแน่ๆ แต่ถ้ามันเริ่มสั่นและส่งเสียงบี๊บในระหว่างการทดสอบต่อไปนี้ แจ้งให้เราทราบด้วย เพราะนั่นหมายความว่ามันกำลังจะแตะอุณหภูมิห้าร้อยองศา เราต้องไปหาและเอามันออกมาจากตัวคุณอย่างด่วนเลย"
"[english]cavejohnson.misc_tests26"	"<clr:205,149,117>Cave Johnson: Now, if you're part of Control Group Kepler-Seven, we implanted a tiny microchip about the size of a postcard into your skull. Most likely you've forgotten it's even there, but if it starts vibrating and beeping during this next test, let us know, because that means it's about to hit five hundred degrees, so we're gonna need to go ahead and get that out of you pretty fast."
"cavejohnson.misc_tests28"	"โอเค เรากำลังทำการทดสอบการหายตัว มันใช้ไม่ได้สำหรับผิวทุกประเภท จำไว้ผิวของนายไว้ และถ้ามันไม่ได้หายไปพร้อมกับนาย นายจะทำทุกอย่างให้เราเห็นว่านายกลับไปที่มัน"
"[english]cavejohnson.misc_tests28"	"<clr:205,149,117>Cave Johnson: All right. We're working on a little teleportation experiment. Now, this doesn't work with all skin types, so try to remember which skin is yours, and if it doesn't teleport along with you, we'll do what we can to sew you right back into it."
"cavejohnson.seventies_intro02"	"Cave Johnson: ตอนนี้คุณอาจจะถามตัวเองว่า \"Cave การทดลองพวกนี้มันยากแค่ไหนกัน? อะไรอยู่ในสมุดโทรศัพท์ของเจ้าของสัญญาที่ฉันเซ็นไป? ชั้นกำลังตกอยู่ในอันตรายหรือเปล่าเนี่ย?\""
"[english]cavejohnson.seventies_intro02"	"<clr:205,149,117>Cave Johnson: Right. Now, you might be asking yourself, 'Cave, just how difficult are these tests? What was in that phone book of a contract I signed? Am I in danger?'"
"cavejohnson.seventies_intro04"	"Cave Johnson: ให้ชั้นตอบคำถามพวกนั้นด้วยคำถามเถอะ ใครต้องการเงิน 6 ดอลลาร์? เงินสด"
"[english]cavejohnson.seventies_intro04"	"<clr:205,149,117>Cave Johnson: Let me answer those questions with a question: Who wants to make sixty dollars? Cash."
"cavejohnson.seventies_intro06"	"Cave Johnson: คุณยังสามารถพักผ่อนได้ถึง 20 นาทีในห้องพักรอ ซึ่งมันสบายกว่ากันเยอะเมื่อเทียบกับม้านั่งในสวนที่พวกคุณส่วนใหญ่นอนกันอยู่ตอนที่เราไปพบคุณ"
"[english]cavejohnson.seventies_intro06"	"<clr:205,149,117>Cave Johnson: You can also feel free to relax for up to 20 minutes in the waiting room, which is a damn sight more comfortable than the park benches most of you were sleeping on when we found you."
"cavejohnson.seventies_intro07"	"Cave Johnson: สำหรับคุณหลายๆคน ผมรู้ว่า 60 ดอลลาร์นั้นเป็นเงินจำนวนมหาศาล ดังนั้นอย่าเพิ่งใช้มันไปกับ... ฉันไม่รู้น่ะ Caroline คนพวกนี้ซื้ออะไรกันหรือ? หมวกขาดๆ? เคราสกปรกๆ?"
"[english]cavejohnson.seventies_intro07"	"<clr:205,149,117>Cave Johnson: For many of you, I realize 60 dollars is an unprecedented windfall, so don't go spending it all on... I don't know. Caroline, what do these people buy? Tattered hats? Beard dirt?"
"cavejohnson.seventies_intro14"	"Cave Johnson: เอาล่ะ ขอต้อนรับสู่ Aperture พวกคุณมาอยู่ที่นี้เพราะเราต้องการสิ่งที่ดีที่สุด และคุณก็เป็นสิ่งนั้น... ไม่ ผมทำหน้าเฉยๆไม่ได้"
"[english]cavejohnson.seventies_intro14"	"<clr:205,149,117>Cave Johnson: So. Welcome to Aperture. You're here because we want the best, and you're it. Nope. Couldn't keep a straight face."
"cavejohnson.seventies_intro15"	"Cave Johnson: อย่างไรก็ตาม อย่าทำให้กระจกนั่นมีรอย ทีจริง ทำไมคุณไม่ไปต่อและพยายามไม่จับอะไรยกเว้นว่าจะเกี่ยวกับการทดสอบล่ะ?"
"[english]cavejohnson.seventies_intro15"	"<clr:205,149,117>Cave Johnson: Anyway, don't smudge up the glass down there. In fact, why don't you just go ahead and not touch anything unless it's test related."
"cavejohnson.seventies_intro16"	"Cave Johnson: ยินดีต้อนรับ เพื่อนๆทั้งหลาย ผม Cave Johnson CEO ของ Aperture Science - คุณอาจจะรู้จักเราในฐานะผู้มีส่วนสำคัญในการอภิปรายของสภา เรื่องนักบินอวกาศที่สูญหายไปในปี 1968 และคุณน่าจะเคยใช้หนึ่งในผลิตภัณฑ์ที่พวกเขาคิดค้นขึ้น แต่ใครบางคนได้ขโมยมันจากเราไป Black Mesa จะได้เอาของที่ล้มละลายของฉันไปกิ--"
"[english]cavejohnson.seventies_intro16"	"<clr:205,149,117>Cave Johnson: Greetings, friend. I'm Cave Johnson, CEO of Aperture Science - you might know us as a vital participant in the 1968 Senate Hearings on missing astronauts. And you've most likely used one of the many products we invented. But that other people have somehow managed to steal from us. Black Mesa can eat my bankrupt--"
"cavejohnson.seventies_outro01"	"Cave Johnson: ขอบคุณ - ชั้นไม่อยากเชื่อว่าชั้นจะต้องขอบคุณคนพวกนี้ - สำหรับการที่คุณเดินทางฝ่าการทดสอบเจลเร่งความเร็วของ Aperture Science คุณได้สร้างการเปลี่ยนแปลงในสังคมของเราอย่างแท้จริง และมนุษย์ชาติก็รู้สึกสำนึกในบุญคุณ"
"[english]cavejohnson.seventies_outro01"	"<clr:205,149,117>Cave Johnson: Thank you -  I can't believe I'm thanking these people  - for staggering your way through Aperture Science's propulsion gel testing. You've made some real contributions to society for a change, and for that, humanity is grateful."
"cavejohnson.seventies_outro02"	"Cave Johnson: ถ้าคุณมีสัมภาระติดตัวใดๆ กรุณาหยิบมันออกไปด้วย เราไม่ต้องการหนังสือพิมพ์เก่าๆและแท่งไม้เกะกะตัวอาคาร"
"[english]cavejohnson.seventies_outro02"	"<clr:205,149,117>Cave Johnson: If you had any belongings, please pick them up now. We don't want old newspapers and sticks cluttering up the building."
"cavejohnson.seventies_test_a_complete05"	"Cave Johnson: นี่เปิดอยู่หรือเปล่า? [ตบ ตบ] เฮ้ ฟังนะข้างล่างนั่นน่ะ อันนั้นเขาเรียกว่าลิฟท์ ไม่ใช่ห้องอาบน้ำ"
"[english]cavejohnson.seventies_test_a_complete05"	"<clr:205,149,117>Cave Johnson: This on? [thump thump] Hey. Listen up down there. That thing's called an elevator. Not a bathroom."
"cavejohnson.seventies_test_a_complete06"	"Cave Johnson: ทำได้ดีมาก มนุษย์อวกาศ วีรบุรุษสงคราม หรือ แชมป์โอลิมปิค! ด้วยความช่วยเหลือของพวกคุณ เราจะ [เทปโดนตัด]"
"[english]cavejohnson.seventies_test_a_complete06"	"<clr:205,149,117>Cave Johnson: Great job, astronaut, war hero, and/or Olympian! With your help, we're gonna [tape cuts out]"
"cavejohnson.seventies_test_a_intro01"	"Cave Johnson: พื้นที่ทดสอบอยู่ข้างหน้านั่น ยิ่งคุณไปเร็วเท่าไหร่ คุณก็จะได้เงิน 60 ดอลลาร์เร็วขึ้นเท่านั้น"
"[english]cavejohnson.seventies_test_a_intro01"	"<clr:205,149,117>Cave Johnson: The testing area's just up ahead. The quicker you get through, the quicker you'll get your sixty bucks."
"cavejohnson.seventies_test_a_intro02"	"Cave Johnson: Caroline บัตรค่าชดเชยค่าตอบแทนพร้อมหรือยัง?"
"[english]cavejohnson.seventies_test_a_intro02"	"<clr:205,149,117>Cave Johnson: Caroline, are the compensation vouchers ready?"
"cavejohnson.seventies_test_b_complete01"	"Cave Johnson: ถ้าคุณสนใจในเงินอีก 60 ดอลลาร์เพิ่มล่ะก็ ตามตัวแผนกคุมการทดสอบแล้วบอกให้เขารู้ คุณอาจจะออกจากที่นี่ไปหร้อมกับเงินหนึ่งร้อยกับอีกยี่สิบถ่วงกระเป๋ากางเกงคุณ ถ้าคุณจะปล่อยให้เราถอดคุณออกเป็นส่วนๆ ใส่อุปกรณ์วิทยาศาสตร์ลงไปนิดหน่อย แล้วต่อคุณเข้าไปใหม่เหมือนเดิม"
"[english]cavejohnson.seventies_test_b_complete01"	"<clr:205,149,117>Cave Johnson: If you're interested in an additional sixty dollars, flag down a test associate and let 'em know. You could walk out of here with a hundred and twenty weighing down your bindle if  you let us take you apart, put some science stuff in you, then put you back together good as new."
"cavejohnson.seventies_test_b_complete03"	"ในกรณีที่นายสนใจ มันยังมีตำแหน่งว่างสำหรับโอกาสที่ชั้นได้บอกไปแล้วเมื่อกี้ อีกครั้ง: สิ่งที่นายจะทำก็คือแยกชิ้นส่วนของนาย เอาจะไม่เอาหินมากระทบกันที่นี่ เรารู้วิธีที่นายเอานายกลับมาไปด้วยกัน"
"[english]cavejohnson.seventies_test_b_complete03"	"<clr:205,149,117>Cave Johnson: In case you're interested, there's still some positions available for that bonus opportunity I mentioned earlier. Again: all you gotta do is let us disassemble you. We're not banging rocks together here. We know how to put a man back together."
"cavejohnson.seventies_test_b_complete04"	"Cave Johnson: ก็เป็นการประกอบใหม่หมดเลย ร่างกายใหม่เอี่ยม แทนที่อันเก่า แถมเรายังเอาเนื้อร้ายออกให้ด้วย นายควรจะเป็นฝ่ายจ่ายเราด้วยซ้ำ"
"[english]cavejohnson.seventies_test_b_complete04"	"<clr:205,149,117>Cave Johnson: So that's a complete reassembly. New vitals. Spit-shine on the old ones. Plus we're scooping out tumors. Frankly, you oughtta be paying us."
